,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
116,09:18:13,23328.0,"('Bluish_Green', 1)","('Red', 86, 23328.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
117,09:18:14,23323.0,"('Bluish_Green', 1)","('Red', 86, 23323.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
118,09:18:16,23320.0,"('Bluish_Green', 1)","('Red', 86, 23320.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
119,09:18:18,23326.0,"('Bluish_Green', 1)","('Red', 86, 23326.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
120,09:18:19,23320.0,"('Bluish_Green', 1)","('Red', 86, 23320.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
121,09:18:21,23310.0,"('Bluish_Green', 1)","('Red', 87, 23310.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,
122,09:18:23,23306.0,"('Bluish_Green', 1)","('Red', 87, 23306.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,
123,09:18:24,23313.0,"('Bluish_Green', 1)","('Red', 86, 23313.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
124,09:18:26,23307.0,"('Bluish_Green', 1)","('Red', 86, 23307.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
125,09:18:28,23311.0,"('Bluish_Green', 1)","('Red', 86, 23311.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
126,09:18:29,23300.0,"('Purple', 1, 23300.0)","('Blue', 1)","('Red', 85)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,
127,09:18:31,23306.0,"('Purple', 1)","('Blue', 1)","('Red', 86, 23306.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
128,09:18:33,23300.0,"('Purple', 1, 23300.0)","('Blue', 1)","('Red', 86)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
129,09:18:34,23303.0,"('Purple', 1)","('Blue', 1)","('Red', 86, 23303.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
130,09:18:36,23304.0,"('Purple', 1)","('Blue', 1)","('Red', 85, 23304.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,
131,09:18:38,23300.0,"('Purple', 1, 23300.0)","('Blue', 1)","('Red', 85)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,
132,09:18:39,23304.0,"('Purple', 1)","('Blue', 1)","('Red', 85, 23304.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,
133,09:18:41,23303.0,"('Purple', 1)","('Blue', 1)","('Red', 85, 23303.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,
